id,subtype,ha_accession,na_accession,impact_risk,emergence_risk
A/swan/Slovenia/2049_22VIR777-3/2021,H5N1,EPI1995084,EPI1995083,0,6.800252685411241
A/turkey/Italy/21VIR10852/2021,H5N1,EPI2140553,EPI2140552,0,6.795637874336364
A/turkey/Wales/065047/2021,H5N1,EPI2071520,EPI2071519,0,6.78304077411135
A/chicken/Luxembourg/23023602/2023,H5N1,EPI2364554,EPI2364572,0,6.78259669704739
A/Common_Teal/Netherlands/1/2022,H5N1,EPI2185431,EPI2185430,0,6.7822793942077775
A/Common_Tern/Netherlands/12/2022,H5N1,EPI2119243,EPI2119242,0,6.780428335865687
A/turkey/Spain/140-38_22VIR2142-19/2022,H5N1,EPI1998202,EPI1998201,0,6.769699266798269
A/swine/Minnesota/A02524797/2020,H3N2,EPI1907265,EPI1907266,0,6.767905999201448
A/canine/Pennsylvania/CVM-985419/2023,H3N2,EPI2906952,EPI2906950,0,6.756909518319745
A/Herring_gull/France/22P019328/2022,H5N1,EPI2780738,EPI2780737,0,6.730795561036738
A/otter/Netherlands/22001014-005/2022,H5N1,EPI1965229,EPI1965228,0,6.72025042938513
A/Harbour_Seal/Scotland/162919/2022,H5N1,EPI2398403,EPI2398402,0,6.709235483887831
A/swine/Denmark/S20996-3/2021,H1N2,EPI1980810,EPI1980812,0,6.706899184661856
A/swine/Germany/2021AI04886/2021_(H1pdmN2,H1N2,EPI2551752,EPI2551751,0,6.69374170929605
A/American_Crow/BC/AIVPHL-1468/2023,H5N1,EPI2856554,EPI2856544,0,6.684579375129371
A/chicken/Italy/21VIR10812-11/2021,H5N1,EPI2140660,EPI2140658,0,6.680664337128548
A/great_crested_grebe/Netherlands/22001219-002/2022,H5N1,EPI1990440,EPI1990439,0,6.677745719286035
A/fox/England/015850/2022,H5N1,EPI2437468,EPI2437467,0,6.671055868640157
A/swine/Germany/2022AI00363/2022_(H1avN1),H1N1,EPI2551584,EPI2551583,0,6.65774084239534
A/barnacle_goose/Netherlands/22007405-004/2022,H5N1,EPI2028769,EPI2028768,0,6.651753796526037
A/swine/England/129502/2023,H1N2,EPI2818798,EPI2818800,0,6.646886327816848
A/swine/Iowa/ISU-A02862194/2023,H3N2,EPI2971632,EPI2971631,0,6.645431795727879
A/swine/Iowa/A02636162/2021,H1N1,EPI1932974,EPI1932975,0,6.645334003770196
A/swine/Iowa/ISU-A02861853/2023,H3N2,EPI2874299,EPI2874298,0,6.638882830851597
A/European_herring_gull_/Sweden/SVA230131SZ0416/FB000259/N-2023,H5N1,EPI2413772,EPI2413774,0,6.627407541313731
A/turkey/England/006787/2023,H5N1,EPI2352585,EPI2352582,0,6.6266147906622885
A/swine/Iowa/A02525161/2021,H3N2,EPI1909023,EPI1909024,0,6.607230809305494
A/common_buzzard/Sweden/SVA221102SZ0478/FB004505/M-2022,H5N1,EPI2214953,EPI2214955,0,6.606453722734993
A/swine/Ohiggins/VN1401-5101/2020,H1N1,EPI1974930,EPI1974929,0,6.591896765681312
A/swine/Iowa/A02524878/2020,H3N2,EPI1907866,EPI1907867,0,6.583166949059032
A/swine/Minnesota/A02245699/2020,H3N2,EPI1833007,EPI1833008,0,6.568091305012747
A/swine/Kansas/A02861449/2023,H3N2,EPI2609242,EPI2609238,0,6.534876547176519
A/swine/Italy/56910/2020,H3N2,EPI2142217,EPI2142173,0,6.521545252795638
A/chicken/China/HUNAU-GT2125/2023,H3N3,EPI2896244,EPI2896242,0,6.517744144737992
A/swine/Spain/44579-1/2020,H3N2,EPI1930744,EPI1930748,0,6.514782437869743
A/turkey/Italy/21VIR10854/2021,H5N1,EPI2140571,EPI2140570,0,6.511042198323541
A/chicken/Scotland/128320/2023,H5N1,EPI2800361,EPI2800360,0,6.4900651494269646
A/swine/Iowa/A02478999/2020,H3N2,EPI1777665,EPI1777666,0,6.486497570646141
A/Mallard/Netherlands/25/2022,H5N1,EPI2214492,EPI2214491,0,6.434451051130001
A/Eurasian_Spoonbill/Netherlands/22016722-002/2022,H5N1,EPI2196504,EPI2196503,0,6.434451051129478
A/Whistling_Duck/England/128441/2022,H5N1,EPI2198756,EPI2198755,0,6.43445104972527
A/swine/South_Korea/CVM-0350/2021,H3N2,EPI2876545,EPI2876543,0,6.432349177967673
A/swine/Italy/58247/2020,H1N1,EPI2142234,EPI2142152,0,6.341300539159707
A/Anhui-Lujiang/39/2018,H9N2,EPI1315830,EPI1315828,0,6.304930046610022
A/swine/South_Korea/CVM-0677/2021,H1N2,EPI2876601,EPI2876599,0,6.295024587397121
A/Mallard/Netherlands/22/2022,H5N1,EPI2198078,EPI2198077,0,6.288975820596594
A/swine/Kansas/A02245381/2020(H1N1),H1N1,EPI1777723,EPI1777724,0,6.275907758779536
A/swine/Ohio/OH-21613/2021,H1N2,EPI2510646,EPI2510648,0,6.258642635047084
